case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay
Multihop 1 gateways,1,4770,6722,96,1000000,107.907,11495,497119,492.428
LoraWAN 1 gateways,1,5231,62,96,1000000,107.907,5293,473445,492.428
Multihop 1 gateways,1,4583,11958,160,1000000,53.9537,16542,725915,492.428
LoraWAN 1 gateways,1,7217,98,160,1000000,107.907,7317,929566,492.428
Multihop 1 gateways,1,4419,17261,224,1000000,35.9692,21680,940094,492.428
LoraWAN 1 gateways,1,6342,33,224,1000000,60.6561,6377,1200402,492.428
Multihop 1 gateways,1,4418,22396,288,1000000,26.9769,26814,1162545,492.428
LoraWAN 1 gateways,1,7149,31,288,1000000,60.6561,7183,1714840,492.428
Multihop 1 gateways,1,4444,27576,352,1000000,21.5815,32022,1402104,492.428
LoraWAN 1 gateways,1,5334,10,352,1000000,30.328,5347,1831870,492.428
