case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.5,1435,28,20,1000000,215,1466,77528,1155,0,0,1463,7,0,3,0.999902
LoraWAN 1 gateways,0.5,1394,16,20,1000000,215,1410,69460,1155,0,0,1410,8,0,0,0
Multihop 1 gateways,0.5,1435,24,20,1000000,215,1461,74731,1155,0,0,1459,7,0,2,0.999931
LoraWAN 1 gateways,0.5,1390,20,20,1000000,215,1410,69276,1155,0,0,1410,8,0,0,0
Multihop 1 gateways,0.5,1453,10,20,1000000,215,1463,75331,1155,0,0,1463,7,0,0,0.999985
LoraWAN 1 gateways,0.5,1386,24,20,1000000,215,1410,69092,1155,0,0,1410,8,0,0,0
Multihop 1 gateways,0.5,1439,22,20,1000000,215,1461,73718,1155,0,0,1461,7,0,0,0.999995
LoraWAN 1 gateways,0.5,1400,10,20,1000000,215,1410,69736,1155,0,0,1410,8,0,0,0
Multihop 1 gateways,0.5,1438,22,20,1000000,215,1460,73900,1155,0,0,1460,7,0,0,0.999928
LoraWAN 1 gateways,0.5,1383,27,20,1000000,215,1410,68954,1155,0,0,1410,8,0,0,0
Multihop 1 gateways,0.5,1446,18,20,1000000,215,1464,75009,1155,0,0,1464,7,0,0,0.999952
LoraWAN 1 gateways,0.5,1402,8,20,1000000,215,1410,69828,1155,0,0,1410,8,0,0,0
Multihop 1 gateways,0.5,1441,18,20,1000000,215,1460,74665,1155,0,0,1459,7,0,1,1
LoraWAN 1 gateways,0.5,1396,14,20,1000000,215,1410,69552,1155,0,0,1410,8,0,0,0
Multihop 1 gateways,0.5,2964,70,40,1000000,215,3055,279569,1155,0,0,3035,7,1,20,0.999926
LoraWAN 1 gateways,0.5,2435,24,40,1000000,215,2459,175722,1155,0,0,2459,9,0,0,0
Multihop 1 gateways,0.5,2939,80,40,1000000,215,3044,274810,1155,0,0,3020,7,1,24,0.999821
LoraWAN 1 gateways,0.5,2424,50,40,1000000,215,2474,172874,1155,0,0,2474,9,0,0,0
Multihop 1 gateways,0.5,2986,40,40,1000000,215,3041,263727,1155,0,0,3026,7,0,15,0.999721
