case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.1,3373,116,180,1000000,215,3516,359009,1155,10,0,3489,7,0,17,0.999557
LoraWAN 1 gateways,0.1,1028,12,180,1000000,215,3511,47288,1155,0,2471,1040,7,0,0,0
LoraWAN 2 gateways,0.1,2830,17,180,1000000,215,3511,130180,1155,0,3511,2847,7,-2847,0,0
LoraWAN 3 gateways,0.1,3468,25,180,1000000,215,3511,159528,1155,0,3511,3483,7,-3493,0,0
Multihop 1 gateways,0.2,6029,425,180,1000000,215,6552,638827,1155,44,0,6454,7,0,54,0.999814
LoraWAN 1 gateways,0.2,1870,68,180,1000000,215,6496,86020,1155,0,4558,1938,7,0,0,0
LoraWAN 2 gateways,0.2,5223,68,180,1000000,215,6496,240258,1155,0,6496,5292,7,-5291,0,0
LoraWAN 3 gateways,0.2,6351,161,180,1000000,215,6496,292146,1155,0,6496,6451,7,-6512,0,0
Multihop 1 gateways,0.3,8161,821,180,1000000,215,9158,861693,1155,73,0,8983,7,3,100,0.996967
LoraWAN 1 gateways,0.3,2553,76,180,1000000,215,8968,117438,1155,0,6339,2629,7,0,0,0
LoraWAN 2 gateways,0.3,7115,159,180,1000000,215,8968,327290,1155,0,8968,7274,7,-7274,0,0
LoraWAN 3 gateways,0.3,8749,282,180,1000000,215,8968,402454,1155,0,8968,8917,7,-9031,0,0
Multihop 1 gateways,0.4,10259,945,180,1000000,215,11490,1078379,1155,96,0,11204,7,14,176,0.999615
LoraWAN 1 gateways,0.4,3168,117,180,1000000,215,11137,145728,1155,0,7852,3285,7,0,0,0
LoraWAN 2 gateways,0.4,8773,254,180,1000000,215,11137,403558,1155,0,11137,9027,7,-9027,0,0
LoraWAN 3 gateways,0.4,10831,451,180,1000000,215,11137,498226,1155,0,11137,11092,7,-11282,0,0
Multihop 1 gateways,0.5,11557,1635,180,1000000,215,13557,1197710,1155,130,0,13192,7,8,227,0.998534
LoraWAN 1 gateways,0.5,3669,110,180,1000000,215,12995,168774,1155,0,9216,3779,7,0,0,0
LoraWAN 2 gateways,0.5,10161,376,180,1000000,215,12995,467406,1155,0,12995,10537,7,-10537,0,0
LoraWAN 3 gateways,0.5,12538,634,180,1000000,215,12995,576748,1155,0,12995,12919,7,-13172,0,0
Multihop 1 gateways,0.6,12615,2318,180,1000000,215,15420,1311797,1155,176,0,14934,7,16,295,0.997302
LoraWAN 1 gateways,0.6,4165,171,180,1000000,215,14613,191590,1155,0,10277,4336,7,0,0,0
LoraWAN 2 gateways,0.6,11338,496,180,1000000,215,14613,521548,1155,0,14613,11834,7,-11834,0,0
LoraWAN 3 gateways,0.6,14043,812,180,1000000,215,14613,645978,1155,0,14613,14530,7,-14855,0,0
Multihop 1 gateways,0.7,14238,2255,180,1000000,215,17065,1473405,1155,189,0,16496,7,11,372,0.996725
LoraWAN 1 gateways,0.7,4458,197,180,1000000,215,16010,205068,1155,0,11355,4655,7,0,0,0
LoraWAN 2 gateways,0.7,12369,593,180,1000000,215,16010,568974,1155,0,16010,12962,7,-12962,0,0
LoraWAN 3 gateways,0.7,15365,947,180,1000000,215,16010,706790,1155,0,16010,15917,7,-16312,0,0
Multihop 1 gateways,0.8,14633,3311,180,1000000,215,18665,1516636,1155,263,0,17947,7,31,427,0.998562
LoraWAN 1 gateways,0.8,4834,208,180,1000000,215,17340,222364,1155,0,12298,5042,7,0,0,0
LoraWAN 2 gateways,0.8,13459,611,180,1000000,215,17340,619114,1155,0,17340,14070,7,-14070,0,0
