case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.1,3590,82,199,1000000,215,3884,218.6,1155,40,0,3672,12,8,164,0.998718,11.0066
LoraWAN 1 gateways,0.1,2668,3,199,1000000,215,2680,447.637,1155,0,6,2674,12,3,0,0,12.0761
Multihop 1 gateways,0.2,5947,484,199,1000000,215,7243,218.6,1155,194,0,6431,12,36,582,0.982177,12.0232
LoraWAN 1 gateways,0.2,4155,8,199,1000000,215,4170,447.337,1155,0,7,4163,12,0,0,0,12.914
Multihop 1 gateways,0.3,8090,627,199,1000000,215,10212,218.6,1155,383,0,8717,12,43,1069,0.990222,12.8948
LoraWAN 1 gateways,0.3,5144,14,199,1000000,215,5167,446.722,1155,0,8,5159,12,1,0,0,13.4261
Multihop 1 gateways,0.4,9913,730,199,1000000,215,12892,218.6,1155,549,0,10643,12,77,1623,0.989545,13.667
LoraWAN 1 gateways,0.4,5854,19,199,1000000,215,5881,446.087,1155,0,8,5873,12,0,0,0,13.7022
Multihop 1 gateways,0.5,10706,1579,199,1000000,215,15379,218.6,1155,837,0,12285,12,66,2191,0.982056,14.2999
LoraWAN 1 gateways,0.5,6407,28,199,1000000,215,6446,445.663,1155,0,8,6438,12,3,0,0,13.9602
Multihop 1 gateways,0.6,12158,1371,199,1000000,215,17570,218.6,1155,1009,0,13530,12,111,2921,0.968265,14.8299
LoraWAN 1 gateways,0.6,6847,57,199,1000000,215,6912,445.65,1155,0,8,6904,12,0,0,0,14.0778
Multihop 1 gateways,0.7,12272,2409,199,1000000,215,19535,218.6,1155,1198,0,14682,12,125,3531,0.943266,15.3251
LoraWAN 1 gateways,0.7,7195,60,199,1000000,215,7265,444.914,1155,0,9,7256,12,1,0,0,14.2203
Multihop 1 gateways,0.8,12953,2878,199,1000000,215,21536,218.6,1155,1495,0,15832,12,154,4056,0.964287,15.7797
LoraWAN 1 gateways,0.8,7527,48,199,1000000,215,7583,445.126,1155,0,8,7575,12,0,0,0,14.3811
Multihop 1 gateways,0.9,14964,1814,199,1000000,215,23376,218.6,1155,1687,0,16779,12,158,4753,0.949184,16.191
LoraWAN 1 gateways,0.9,7763,64,199,1000000,215,7838,445.131,1155,0,9,7829,12,2,0,0,14.4389
Multihop 1 gateways,1,12922,4713,199,1000000,215,25077,218.6,1155,1879,0,17636,12,215,5348,0.930599,16.5719
LoraWAN 1 gateways,1,7974,71,199,1000000,215,8058,445.03,1155,0,9,8049,12,4,0,0,14.514
Multihop 1 gateways,0.1,3657,107,199,1000000,215,3884,217.694,1155,82,0,3635,12,-127,165,0.994905,10.3289
LoraWAN 1 gateways,0.1,2775,4,199,1000000,215,2779,423.273,1155,0,0,2779,12,0,0,0,11.2276
Multihop 1 gateways,0.2,6093,582,199,1000000,215,7243,217.568,1155,238,0,6419,12,-243,573,0.993497,11.2617
LoraWAN 1 gateways,0.2,4363,11,199,1000000,215,4375,418.64,1155,0,0,4375,12,1,0,0,12.1576
Multihop 1 gateways,0.3,7930,1051,199,1000000,215,10213,217.497,1155,472,0,8628,12,-319,1079,0.974861,12.0117
LoraWAN 1 gateways,0.3,5382,23,199,1000000,215,5408,418.571,1155,0,0,5408,12,3,0,0,12.5608
Multihop 1 gateways,0.4,9523,1381,199,1000000,215,12890,217.778,1155,737,0,10483,12,-389,1638,0.970467,12.7025
LoraWAN 1 gateways,0.4,6159,33,199,1000000,215,6195,416.352,1155,0,0,6195,12,3,0,0,12.8971
Multihop 1 gateways,0.5,10622,2089,199,1000000,215,15365,217.626,1155,881,0,12200,12,-458,2231,0.941953,13.3086
LoraWAN 1 gateways,0.5,6792,34,199,1000000,215,6826,415.94,1155,0,0,6826,12,0,0,0,13.0936
Multihop 1 gateways,0.6,10943,3127,199,1000000,215,17569,217.759,1155,1156,0,13487,12,-511,2854,0.954624,13.8238
LoraWAN 1 gateways,0.6,7265,53,199,1000000,215,7320,416.168,1155,0,0,7320,12,2,0,0,13.2583
Multihop 1 gateways,0.7,14069,1248,199,1000000,215,19505,217.495,1155,1354,0,14687,12,-573,3407,0.943496,14.231
LoraWAN 1 gateways,0.7,7654,35,199,1000000,215,7692,416.79,1155,0,0,7692,12,3,0,0,13.3843
Multihop 1 gateways,0.8,13409,3047,199,1000000,215,21506,217.742,1155,1720,0,15733,12,-657,3987,0.909377,14.6244
LoraWAN 1 gateways,0.8,7993,63,199,1000000,215,8056,416.508,1155,0,0,8056,12,0,0,0,13.5097
Multihop 1 gateways,0.9,15392,2114,199,1000000,215,23313,217.556,1155,1926,0,16743,12,-681,4562,0.92949,15.0003
LoraWAN 1 gateways,0.9,8287,55,199,1000000,215,8343,416.339,1155,0,0,8343,12,1,0,0,13.5953
Multihop 1 gateways,1,16231,2235,199,1000000,215,25066,217.539,1155,2129,0,17642,12,-749,5220,0.924475,15.3274
LoraWAN 1 gateways,1,8513,90,199,1000000,215,8604,415.701,1155,0,0,8604,12,1,0,0,13.6822
