case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.1,665,36,199,200000,43,755,218.6,1155,13,0,702,7,2,39,0.995019,1.57833
LoraWAN 1 gateways,0.1,48,0,199,200000,43,756,9.2,1155,0,708,48,7,0,0,0,6.39216
LoraWAN 2 gateways,0.1,264,0,199,200000,43,756,40.8889,1155,0,756,264,7,-264,0,0,1.32954
LoraWAN 3 gateways,0.1,419,1,199,200000,43,756,40.8889,1155,0,756,420,7,-420,0,0,1.32954
Multihop 1 gateways,0.2,1206,57,199,200000,43,1443,218.6,1155,50,0,1263,7,5,125,0.993442,1.75952
LoraWAN 1 gateways,0.2,91,0,199,200000,43,1429,9.2,1155,0,1338,91,7,0,0,0,6.5966
LoraWAN 2 gateways,0.2,486,6,199,200000,43,1429,40.8889,1155,0,1429,492,7,-492,0,0,1.37681
LoraWAN 3 gateways,0.2,757,10,199,200000,43,1429,40.8889,1155,0,1429,767,7,-767,0,0,1.37681
Multihop 1 gateways,0.3,1604,70,199,200000,43,2055,218.6,1155,127,0,1674,7,13,241,0.970163,1.91601
LoraWAN 1 gateways,0.3,131,0,199,200000,43,2010,9.2,1155,0,1879,131,7,0,0,0,6.92593
LoraWAN 2 gateways,0.3,681,13,199,200000,43,2010,40.8889,1155,0,2010,694,7,-694,0,0,1.44155
LoraWAN 3 gateways,0.3,1079,11,199,200000,43,2010,40.8889,1155,0,2010,1091,7,-1090,0,0,1.44155
Multihop 1 gateways,0.4,1998,30,199,200000,43,2620,218.6,1155,134,0,2028,7,18,440,0.97414,2.04996
LoraWAN 1 gateways,0.4,152,0,199,200000,43,2522,9.2,1155,0,2370,152,7,0,0,0,7.07444
LoraWAN 2 gateways,0.4,872,11,199,200000,43,2522,40.8889,1155,0,2522,883,7,-883,0,0,1.47366
LoraWAN 3 gateways,0.4,1353,22,199,200000,43,2522,40.8889,1155,0,2522,1375,7,-1375,0,0,1.47366
Multihop 1 gateways,0.5,2199,179,199,200000,43,3127,218.6,1155,184,0,2379,7,25,540,0.959349,2.16557
LoraWAN 1 gateways,0.5,167,0,199,200000,43,2933,9.2,1155,0,2766,167,7,0,0,0,7.21689
LoraWAN 2 gateways,0.5,1032,19,199,200000,43,2933,40.8889,1155,0,2933,1053,7,-1051,0,0,1.50501
LoraWAN 3 gateways,0.5,1556,34,199,200000,43,2933,40.8889,1155,0,2933,1591,7,-1590,0,0,1.50501
Multihop 1 gateways,0.6,2173,426,199,200000,43,3560,218.6,1155,253,0,2599,7,28,680,0.964856,2.26241
LoraWAN 1 gateways,0.6,211,4,199,200000,43,3300,9.2,1155,0,3085,215,7,0,0,0,7.38264
LoraWAN 2 gateways,0.6,1132,26,199,200000,43,3300,40.8889,1155,0,3300,1158,7,-1158,0,0,1.54014
LoraWAN 3 gateways,0.6,1740,35,199,200000,43,3300,40.8889,1155,0,3300,1775,7,-1775,0,0,1.54014
Multihop 1 gateways,0.7,2498,315,199,200000,43,3954,218.6,1155,281,0,2813,7,32,828,0.919476,2.34805
LoraWAN 1 gateways,0.7,209,4,199,200000,43,3579,9.2,1155,0,3365,213,7,1,0,0,7.50918
LoraWAN 2 gateways,0.7,1237,32,199,200000,43,3579,40.8889,1155,0,3578,1269,7,-1268,0,0,1.56323
