case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.5,1379,13,19,1000000,215,1395,49.6667,1155,0,0,1392,9,0,3,0.999904,4.31181
LoraWAN 1 gateways,0.5,1245,13,19,1000000,215,1258,46,1155,0,0,1258,9,0,0,0,3.72601
Multihop 1 gateways,0.5,1379,8,19,1000000,215,1401,49.6667,1155,2,0,1387,9,0,12,0.99993,4.61567
LoraWAN 1 gateways,0.5,1191,15,19,1000000,215,1206,46,1155,0,0,1206,9,0,0,0,3.72338
Multihop 1 gateways,0.5,1381,6,19,1000000,215,1392,23,1155,0,0,1387,8,0,5,0.999982,5.96593
LoraWAN 1 gateways,0.5,1249,2,19,1000000,215,1252,23,1155,0,0,1252,8,1,0,0,5.60506
Multihop 1 gateways,0.5,1382,22,19,1000000,215,1419,74.75,1155,4,0,1404,10,0,11,0.999584,18.4003
LoraWAN 1 gateways,0.5,1142,10,19,1000000,215,1152,75.5,1155,0,0,1152,10,0,0,0,3.62671
Multihop 1 gateways,0.5,1381,18,19,1000000,215,1405,49.6667,1155,0,0,1400,9,1,5,0.999995,4.3942
LoraWAN 1 gateways,0.5,1183,8,19,1000000,215,1191,46,1155,0,0,1191,9,0,0,0,3.72071
Multihop 1 gateways,0.5,1382,14,19,1000000,215,1400,49.6667,1155,0,0,1397,9,1,3,0.999529,4.24539
LoraWAN 1 gateways,0.5,1233,10,19,1000000,215,1243,46,1155,0,0,1243,9,0,0,0,3.7318
Multihop 1 gateways,0.5,1387,17,19,1000000,215,1408,49.6667,1155,0,0,1404,9,0,4,0.999995,4.37939
LoraWAN 1 gateways,0.5,1213,12,19,1000000,215,1226,46,1155,0,0,1226,9,1,0,0,3.72328
Multihop 1 gateways,0.5,1380,8,19,1000000,215,1395,49.6667,1155,2,0,1388,9,0,5,0.999711,4.40242
LoraWAN 1 gateways,0.5,1239,4,19,1000000,215,1243,46,1155,0,0,1243,9,0,0,0,3.73048
Multihop 1 gateways,0.5,1396,10,19,1000000,215,1410,49.6667,1155,0,0,1406,9,0,4,0.999975,4.44574
LoraWAN 1 gateways,0.5,1197,5,19,1000000,215,1202,46,1155,0,0,1202,9,0,0,0,3.73791
Multihop 1 gateways,0.5,1367,30,19,1000000,215,1402,49.6667,1155,2,0,1397,9,0,3,0.999758,4.41507
LoraWAN 1 gateways,0.5,1226,16,19,1000000,215,1242,46,1155,0,0,1242,9,0,0,0,3.72981
Multihop 1 gateways,0.5,2825,38,39,1000000,215,2995,99.2,1155,26,0,2863,10,17,89,0.993883,25.2541
LoraWAN 1 gateways,0.5,2068,15,39,1000000,215,2083,126.2,1155,0,0,2083,10,0,0,0,3.44981
Multihop 1 gateways,0.5,2902,56,39,1000000,215,3013,123.333,1155,6,0,2958,10,2,47,0.998923,4.16127
LoraWAN 1 gateways,0.5,2160,20,39,1000000,215,2180,125.652,1155,0,0,2180,10,0,0,0,3.60576
Multihop 1 gateways,0.5,2876,16,39,1000000,215,3000,123.333,1155,22,0,2893,11,7,79,0.999211,4.02773
LoraWAN 1 gateways,0.5,2082,7,39,1000000,215,2089,126.159,1155,0,0,2089,11,0,0,0,4.51779
Multihop 1 gateways,0.5,2877,56,39,1000000,215,3004,123.333,1155,22,0,2933,11,-1,50,0.999789,4.24216
LoraWAN 1 gateways,0.5,2093,10,39,1000000,215,2103,132.5,1155,0,0,2103,11,0,0,0,5.43171
Multihop 1 gateways,0.5,2812,89,39,1000000,215,2980,74.75,1155,39,0,2901,9,-1,41,0.999409,12.9137
LoraWAN 1 gateways,0.5,2177,16,39,1000000,215,2193,75.5,1155,0,0,2193,9,0,0,0,3.71542
Multihop 1 gateways,0.5,2837,40,39,1000000,215,2990,123.333,1155,44,0,2878,11,2,67,0.998954,4.44483
LoraWAN 1 gateways,0.5,2043,18,39,1000000,215,2061,161.495,1155,0,0,2061,11,0,0,0,4.95606
Multihop 1 gateways,0.5,2864,68,39,1000000,215,2983,99.2,1155,10,0,2932,10,1,40,0.99974,24.1197
LoraWAN 1 gateways,0.5,2173,21,39,1000000,215,2195,93.2,1155,0,0,2195,10,1,0,0,2.97669
Multihop 1 gateways,0.5,2905,28,39,1000000,215,2995,123.333,1155,14,0,2933,11,0,48,0.999453,4.20821
LoraWAN 1 gateways,0.5,2150,15,39,1000000,215,2165,125.833,1155,0,0,2165,11,0,0,0,5.15811
Multihop 1 gateways,0.5,2724,193,39,1000000,215,2977,74.75,1155,22,0,2917,10,1,37,0.999866,18.1237
LoraWAN 1 gateways,0.5,2159,11,39,1000000,215,2170,66.6133,1155,0,0,2170,10,0,0,0,2.93646
Multihop 1 gateways,0.5,2837,94,39,1000000,215,2998,99.2,1155,16,0,2931,10,0,51,0.999742,24.2968
LoraWAN 1 gateways,0.5,2168,17,39,1000000,215,2185,84.8545,1155,0,0,2185,10,0,0,0,3.00043
Multihop 1 gateways,0.5,4206,157,59,1000000,215,4533,99.2,1155,28,0,4363,11,7,135,0.999386,11.5929
LoraWAN 1 gateways,0.5,2843,25,59,1000000,215,2868,98.0801,1155,0,0,2868,11,0,0,0,4.41002
Multihop 1 gateways,0.5,4112,189,59,1000000,215,4513,99.2,1155,91,0,4301,10,1,120,0.995151,18.942
LoraWAN 1 gateways,0.5,3014,30,59,1000000,215,3044,121.06,1155,0,0,3044,10,0,0,0,3.44909
Multihop 1 gateways,0.5,4116,206,59,1000000,215,4535,123.333,1155,46,0,4322,10,3,164,0.998948,4.33916
LoraWAN 1 gateways,0.5,2827,16,59,1000000,215,2843,138.732,1155,0,0,2843,10,0,0,0,4.43801
Multihop 1 gateways,0.5,4137,180,59,1000000,215,4506,123.333,1155,53,0,4317,11,8,128,0.997455,3.82993
LoraWAN 1 gateways,0.5,2935,22,59,1000000,215,2957,213.071,1155,0,0,2957,11,0,0,0,4.5986
Multihop 1 gateways,0.5,3980,276,59,1000000,215,4520,123.333,1155,68,0,4256,11,7,189,0.998727,4.45934
LoraWAN 1 gateways,0.5,2830,12,59,1000000,215,2843,147.61,1155,0,0,2843,11,1,0,0,4.42416
Multihop 1 gateways,0.5,4179,208,59,1000000,215,4535,99.2,1155,43,0,4387,10,1,104,0.999557,11.8284
LoraWAN 1 gateways,0.5,2862,16,59,1000000,215,2879,90.9846,1155,0,0,2879,10,1,0,0,3.44996
Multihop 1 gateways,0.5,4208,144,59,1000000,215,4481,99.2,1155,41,0,4352,10,8,80,0.999839,35.9449
LoraWAN 1 gateways,0.5,3143,44,59,1000000,215,3188,93.2,1155,0,0,3188,10,1,0,0,2.9728
Multihop 1 gateways,0.5,4117,216,59,1000000,215,4532,99.2,1155,78,0,4333,10,1,120,0.999271,12.5311
LoraWAN 1 gateways,0.5,2903,35,59,1000000,215,2938,96.4481,1155,0,0,2938,10,0,0,0,3.77138
Multihop 1 gateways,0.5,4127,220,59,1000000,215,4505,147.286,1155,34,0,4347,11,7,117,0.992645,42.6147
LoraWAN 1 gateways,0.5,2972,23,59,1000000,215,2995,231.977,1155,0,0,2995,11,0,0,0,4.76744
Multihop 1 gateways,0.5,4245,116,59,1000000,215,4508,99.2,1155,45,0,4362,10,10,92,0.999571,19.0155
LoraWAN 1 gateways,0.5,2998,23,59,1000000,215,3021,126.2,1155,0,0,3021,10,0,0,0,3.61251
Multihop 1 gateways,0.5,5487,206,79,1000000,215,6075,123.333,1155,109,0,5694,11,16,257,0.997833,4.78844
LoraWAN 1 gateways,0.5,3606,36,79,1000000,215,3642,140.733,1155,0,0,3642,11,0,0,0,4.36832
Multihop 1 gateways,0.5,5447,274,79,1000000,215,6060,123.333,1155,89,0,5721,11,19,231,0.998982,4.78681
LoraWAN 1 gateways,0.5,3696,26,79,1000000,215,3723,132.447,1155,0,0,3723,11,1,0,0,4.18579
Multihop 1 gateways,0.5,5543,351,79,1000000,215,6035,122.987,1155,89,0,5748,11,-140,192,0.999221,4.20044
LoraWAN 1 gateways,0.5,3904,38,79,1000000,215,3943,158.275,1155,0,0,3943,11,1,0,0,4.32061
Multihop 1 gateways,0.5,5415,206,79,1000000,215,6083,147.286,1155,177,0,5621,11,8,277,0.996969,31.3244
LoraWAN 1 gateways,0.5,3454,31,79,1000000,215,3486,216.506,1155,0,0,3486,11,1,0,0,4.40036
Multihop 1 gateways,0.5,5359,222,79,1000000,215,6122,171.125,1155,138,0,5582,12,29,374,0.991991,30.4344
LoraWAN 1 gateways,0.5,3421,30,79,1000000,215,3451,236.022,1155,0,0,3451,12,0,0,0,3.50357
Multihop 1 gateways,0.5,5555,160,79,1000000,215,6099,123.333,1155,93,0,5715,11,16,275,0.998436,5.00664
LoraWAN 1 gateways,0.5,3500,19,79,1000000,215,3519,198.431,1155,0,0,3519,11,0,0,0,4.46769
Multihop 1 gateways,0.5,5508,178,79,1000000,215,6111,147.286,1155,118,0,5686,11,5,302,0.998833,13.9084
LoraWAN 1 gateways,0.5,3387,24,79,1000000,215,3412,165.016,1155,0,0,3412,11,1,0,0,4.90018
Multihop 1 gateways,0.5,5478,279,79,1000000,215,6066,123.333,1155,100,0,5758,11,8,201,0.998836,4.52961
