case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.8,1919,44,20,1000000,215,1966,99332,1155,0,0,1964,7,1,2,0.999964
LoraWAN 1 gateways,0.8,1860,28,20,1000000,215,1888,91678,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1926,38,20,1000000,215,1966,99141,1155,0,0,1964,7,0,2,0.999958
LoraWAN 1 gateways,0.8,1860,28,20,1000000,215,1888,91678,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1922,28,20,1000000,215,1950,88412,1155,0,0,1950,7,0,0,1
LoraWAN 1 gateways,0.8,1916,34,20,1000000,215,1951,88136,1155,0,0,1951,7,1,0,0
Multihop 1 gateways,0.8,1945,18,20,1000000,215,1964,100186,1155,0,0,1963,7,0,1,0.99997
LoraWAN 1 gateways,0.8,1866,22,20,1000000,215,1888,91954,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1945,20,20,1000000,215,1966,99901,1155,0,0,1965,7,0,1,0.999988
LoraWAN 1 gateways,0.8,1866,22,20,1000000,215,1888,91954,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1940,24,20,1000000,215,1966,100412,1155,0,0,1964,7,0,2,0.999993
LoraWAN 1 gateways,0.8,1870,18,20,1000000,215,1888,92138,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1933,32,20,1000000,215,1966,100204,1155,0,0,1965,7,0,1,0.999953
LoraWAN 1 gateways,0.8,1860,28,20,1000000,215,1888,91678,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1919,40,20,1000000,215,1963,99047,1155,0,0,1960,7,1,3,0.999999
LoraWAN 1 gateways,0.8,1852,36,20,1000000,215,1888,91310,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1909,54,20,1000000,215,1963,98758,1155,0,0,1963,7,0,0,0.999802
LoraWAN 1 gateways,0.8,1874,14,20,1000000,215,1888,92322,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1951,14,20,1000000,215,1966,100975,1155,0,0,1965,7,0,1,0.999999
LoraWAN 1 gateways,0.8,1844,44,20,1000000,215,1888,90942,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,3957,124,40,1000000,215,4120,346148,1155,0,0,4081,7,0,39,0.999908
LoraWAN 1 gateways,0.8,3176,42,40,1000000,215,3218,215058,1155,0,0,3218,9,0,0,0
Multihop 1 gateways,0.8,3903,203,40,1000000,215,4132,337942,1155,0,0,4107,7,2,24,0.99966
LoraWAN 1 gateways,0.8,3164,57,40,1000000,215,3221,214084,1155,0,0,3221,9,0,0,0
Multihop 1 gateways,0.8,3797,283,40,1000000,215,4110,327787,1155,0,0,4081,7,1,29,0.999738
LoraWAN 1 gateways,0.8,3150,68,40,1000000,215,3219,213238,1155,0,0,3219,9,1,0,0
Multihop 1 gateways,0.8,3923,213,40,1000000,215,4168,352840,1155,0,0,4136,7,0,32,0.999584
LoraWAN 1 gateways,0.8,3139,47,40,1000000,215,3186,216778,1155,0,0,3186,9,0,0,0
Multihop 1 gateways,0.8,3995,124,40,1000000,215,4148,359783,1155,0,0,4119,7,0,29,0.999971
LoraWAN 1 gateways,0.8,3155,30,40,1000000,215,3185,217488,1155,0,0,3185,9,0,0,0
Multihop 1 gateways,0.8,3966,116,40,1000000,215,4154,385813,1155,0,0,4082,7,1,71,0.998929
LoraWAN 1 gateways,0.8,3106,37,40,1000000,215,3143,219505,1155,0,0,3143,10,0,0,0
Multihop 1 gateways,0.8,4001,124,40,1000000,215,4169,367040,1155,0,0,4125,7,0,44,0.998991
LoraWAN 1 gateways,0.8,3133,37,40,1000000,215,3170,218088,1155,0,0,3170,9,0,0,0
Multihop 1 gateways,0.8,3960,152,40,1000000,215,4157,377123,1155,0,0,4113,7,1,44,0.999676
LoraWAN 1 gateways,0.8,3081,49,40,1000000,215,3130,219703,1155,0,0,3130,10,0,0,0
Multihop 1 gateways,0.8,3863,261,40,1000000,215,4152,346270,1155,0,0,4124,7,0,28,0.999648
LoraWAN 1 gateways,0.8,3136,55,40,1000000,215,3191,215660,1155,0,0,3191,9,0,0,0
Multihop 1 gateways,0.8,3937,140,40,1000000,215,4098,330030,1155,0,0,4078,7,1,20,0.99949
LoraWAN 1 gateways,0.8,3183,56,40,1000000,215,3239,212422,1155,0,0,3239,9,0,0,0
Multihop 1 gateways,0.8,5800,474,60,1000000,215,6374,627194,1155,0,0,6274,7,1,99,0.99911
LoraWAN 1 gateways,0.8,4295,62,60,1000000,215,4358,348290,1155,0,0,4358,9,1,0,0
Multihop 1 gateways,0.8,5976,325,60,1000000,215,6435,699371,1155,0,0,6303,7,2,132,0.99657
LoraWAN 1 gateways,0.8,4186,53,60,1000000,215,4239,355405,1155,0,0,4239,10,0,0,0
Multihop 1 gateways,0.8,5889,387,60,1000000,215,6390,650334,1155,0,0,6276,7,0,114,0.99619
LoraWAN 1 gateways,0.8,4279,93,60,1000000,215,4373,345923,1155,0,0,4373,10,1,0,0
Multihop 1 gateways,0.8,5809,484,60,1000000,215,6393,647917,1155,0,0,6293,7,0,100,0.999386
LoraWAN 1 gateways,0.8,4264,69,60,1000000,215,4333,349068,1155,0,0,4333,9,0,0,0
Multihop 1 gateways,0.8,6145,146,60,1000000,215,6476,785410,1155,0,0,6291,7,0,185,0.999019
LoraWAN 1 gateways,0.8,4100,48,60,1000000,215,4148,362786,1155,0,0,4148,10,0,0,0
Multihop 1 gateways,0.8,5941,304,60,1000000,215,6422,717828,1155,0,0,6245,7,0,177,0.997035
LoraWAN 1 gateways,0.8,4166,50,60,1000000,215,4216,357711,1155,0,0,4216,11,0,0,0
Multihop 1 gateways,0.8,5842,451,60,1000000,215,6399,647110,1155,0,0,6293,7,0,106,0.999182
LoraWAN 1 gateways,0.8,4259,90,60,1000000,215,4349,347840,1155,0,0,4349,10,0,0,0
Multihop 1 gateways,0.8,5895,367,60,1000000,215,6431,707629,1155,0,0,6262,7,1,168,0.995562
LoraWAN 1 gateways,0.8,4177,69,60,1000000,215,4246,354351,1155,0,0,4246,10,0,0,0
Multihop 1 gateways,0.8,5905,329,60,1000000,215,6420,724726,1155,0,0,6234,7,1,185,0.998384
LoraWAN 1 gateways,0.8,4169,46,60,1000000,215,4215,358702,1155,0,0,4215,10,0,0,0
Multihop 1 gateways,0.8,5931,331,60,1000000,215,6444,732316,1155,0,0,6262,7,2,180,0.996339
LoraWAN 1 gateways,0.8,4145,61,60,1000000,215,4207,357267,1155,0,0,4207,10,1,0,0
Multihop 1 gateways,0.8,7703,746,80,1000000,215,8764,1099428,1155,0,0,8449,7,0,315,0.998017
LoraWAN 1 gateways,0.8,5082,87,80,1000000,215,5170,501265,1155,0,0,5170,10,1,0,0
Multihop 1 gateways,0.8,7443,1021,80,1000000,215,8745,1026443,1155,0,0,8464,7,0,281,0.990696
LoraWAN 1 gateways,0.8,5178,51,80,1000000,215,5229,500251,1155,0,0,5229,10,0,0,0
Multihop 1 gateways,0.8,7760,690,80,1000000,215,8708,1038308,1155,0,0,8450,7,1,257,0.998255
LoraWAN 1 gateways,0.8,5233,62,80,1000000,215,5296,495507,1155,0,0,5296,10,1,0,0
Multihop 1 gateways,0.8,7980,447,80,1000000,215,8794,1173734,1155,0,0,8427,7,1,366,0.996529
LoraWAN 1 gateways,0.8,5040,74,80,1000000,215,5114,505259,1155,0,0,5114,11,0,0,0
Multihop 1 gateways,0.8,7361,1034,80,1000000,215,8767,1093178,1155,0,0,8395,7,4,368,0.998813
LoraWAN 1 gateways,0.8,5058,65,80,1000000,215,5124,505563,1155,0,0,5124,11,1,0,0
Multihop 1 gateways,0.8,7649,807,80,1000000,215,8764,1095987,1155,0,0,8457,7,1,307,0.998914
LoraWAN 1 gateways,0.8,5042,95,80,1000000,215,5137,503532,1155,0,0,5137,10,0,0,0
Multihop 1 gateways,0.8,7571,743,80,1000000,215,8701,1089489,1155,0,0,8314,7,1,386,0.981405
LoraWAN 1 gateways,0.8,5110,92,80,1000000,215,5204,500029,1155,0,0,5204,11,2,0,0
Multihop 1 gateways,0.8,7913,478,80,1000000,215,8749,1165347,1155,1,0,8392,7,2,355,0.994154
LoraWAN 1 gateways,0.8,5047,63,80,1000000,215,5110,507218,1155,0,0,5110,11,0,0,0
Multihop 1 gateways,0.8,7960,487,80,1000000,215,8728,1070067,1155,0,0,8448,7,2,279,0.999463
LoraWAN 1 gateways,0.8,5219,80,80,1000000,215,5299,494115,1155,0,0,5299,10,0,0,0
Multihop 1 gateways,0.8,7727,657,80,1000000,215,8730,1075735,1155,0,0,8385,7,1,345,0.997295
LoraWAN 1 gateways,0.8,5130,91,80,1000000,215,5222,497910,1155,0,0,5222,10,1,0,0
Multihop 1 gateways,0.8,9556,1092,100,1000000,215,11168,1532352,1155,0,0,10649,7,2,518,0.998534
LoraWAN 1 gateways,0.8,5917,105,100,1000000,215,6022,651619,1155,0,0,6022,10,0,0,0
Multihop 1 gateways,0.8,9676,886,100,1000000,215,11176,1606604,1155,0,0,10564,7,6,608,0.997043
LoraWAN 1 gateways,0.8,5779,68,100,1000000,215,5847,665929,1155,0,0,5847,11,0,0,0
Multihop 1 gateways,0.8,9263,1276,100,1000000,215,11180,1536169,1155,0,0,10539,7,1,640,0.995928
LoraWAN 1 gateways,0.8,5766,87,100,1000000,215,5853,662322,1155,0,0,5853,11,0,0,0
Multihop 1 gateways,0.8,9742,801,100,1000000,215,11188,1649505,1155,0,0,10543,7,0,645,0.994225
LoraWAN 1 gateways,0.8,5769,79,100,1000000,215,5849,663570,1155,0,0,5849,11,1,0,0
Multihop 1 gateways,0.8,9610,985,100,1000000,215,11138,1525044,1155,0,0,10595,7,4,539,0.998833
LoraWAN 1 gateways,0.8,5927,68,100,1000000,215,5997,655531,1155,0,0,5997,10,2,0,0
Multihop 1 gateways,0.8,9787,707,100,1000000,215,11150,1643519,1155,0,0,10494,7,1,655,0.994235
LoraWAN 1 gateways,0.8,5787,70,100,1000000,215,5857,664802,1155,0,0,5857,11,0,0,0
Multihop 1 gateways,0.8,9405,1196,100,1000000,215,11157,1535098,1155,0,0,10601,7,0,556,0.99906
LoraWAN 1 gateways,0.8,5879,90,100,1000000,215,5969,656224,1155,0,0,5969,10,0,0,0
Multihop 1 gateways,0.8,9182,1368,100,1000000,215,11165,1515485,1155,0,0,10550,7,4,611,0.995968
LoraWAN 1 gateways,0.8,5855,85,100,1000000,215,5940,658571,1155,0,0,5940,11,0,0,0
Multihop 1 gateways,0.8,9633,1008,100,1000000,215,11210,1597145,1155,0,0,10641,7,1,568,0.998335
LoraWAN 1 gateways,0.8,5803,72,100,1000000,215,5875,662599,1155,0,0,5875,10,0,0,0
Multihop 1 gateways,0.8,9906,685,100,1000000,215,11194,1626658,1155,0,0,10594,7,5,598,0.996734
LoraWAN 1 gateways,0.8,5892,54,100,1000000,215,5947,660630,1155,0,0,5947,11,1,0,0
Multihop 1 gateways,0.8,11634,887,120,1000000,215,13596,2273214,1155,0,0,12521,7,4,1071,0.993045
LoraWAN 1 gateways,0.8,6346,65,120,1000000,215,6411,836265,1155,0,0,6411,11,0,0,0
Multihop 1 gateways,0.8,11023,1522,120,1000000,215,13555,2028493,1155,0,0,12545,7,1,1009,0.978177
LoraWAN 1 gateways,0.8,6553,83,120,1000000,215,6637,819776,1155,0,0,6637,11,1,0,0
Multihop 1 gateways,0.8,11069,1414,120,1000000,215,13593,2145727,1155,0,0,12484,7,8,1102,0.996416
LoraWAN 1 gateways,0.8,6372,63,120,1000000,215,6435,833871,1155,0,0,6435,11,0,0,0
Multihop 1 gateways,0.8,11151,1423,120,1000000,215,13603,2090911,1155,0,0,12574,7,2,1027,0.996179
LoraWAN 1 gateways,0.8,6444,92,120,1000000,215,6536,822383,1155,0,0,6536,11,0,0,0
Multihop 1 gateways,0.8,11588,924,120,1000000,215,13565,2201268,1155,0,0,12512,7,3,1050,0.995362
LoraWAN 1 gateways,0.8,6411,99,120,1000000,215,6511,825547,1155,0,0,6511,11,1,0,0
