case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.8,2970,64,30,1000000,215,3046,220771,1155,0,0,3034,7,1,11,0.999989
LoraWAN 1 gateways,0.8,2518,40,30,1000000,215,2558,153088,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,2897,118,30,1000000,215,3028,206376,1155,0,0,3015,7,0,13,0.999967
LoraWAN 1 gateways,0.8,2554,27,30,1000000,215,2581,151984,1155,0,0,2581,8,0,0,0
Multihop 1 gateways,0.8,2965,64,30,1000000,215,3048,219037,1155,0,0,3029,7,1,18,0.999919
LoraWAN 1 gateways,0.8,2525,40,30,1000000,215,2566,152516,1155,0,0,2566,9,1,0,0
Multihop 1 gateways,0.8,2948,90,30,1000000,215,3046,214375,1155,0,0,3038,7,0,8,0.999678
LoraWAN 1 gateways,0.8,2530,28,30,1000000,215,2558,153870,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,2958,58,30,1000000,215,3023,200335,1155,0,0,3017,7,1,6,0.999952
LoraWAN 1 gateways,0.8,2574,40,30,1000000,215,2614,149684,1155,0,0,2614,8,0,0,0
Multihop 1 gateways,0.8,2956,60,30,1000000,215,3027,208002,1155,0,0,3016,7,0,11,0.999965
LoraWAN 1 gateways,0.8,2585,33,30,1000000,215,2619,149730,1155,0,0,2619,8,1,0,0
Multihop 1 gateways,0.8,2964,54,30,1000000,215,3026,206707,1155,0,0,3018,7,0,8,0.999957
LoraWAN 1 gateways,0.8,2562,29,30,1000000,215,2591,151294,1155,0,0,2591,8,0,0,0
Multihop 1 gateways,0.8,2965,56,30,1000000,215,3043,218743,1155,0,0,3022,7,1,21,0.999877
LoraWAN 1 gateways,0.8,2526,32,30,1000000,215,2558,153548,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,2933,94,30,1000000,215,3031,204306,1155,0,0,3028,7,1,3,0.999867
LoraWAN 1 gateways,0.8,2523,35,30,1000000,215,2558,153364,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,2905,127,30,1000000,215,3047,224091,1155,0,0,3032,7,0,15,0.999504
LoraWAN 1 gateways,0.8,2523,24,30,1000000,215,2547,154226,1155,0,0,2547,9,0,0,0
Multihop 1 gateways,0.8,5791,531,60,1000000,215,6457,700620,1155,0,0,6323,7,2,133,0.997508
LoraWAN 1 gateways,0.8,4160,33,60,1000000,215,4193,360281,1155,0,0,4193,10,0,0,0
Multihop 1 gateways,0.8,5924,364,60,1000000,215,6440,731337,1155,0,0,6288,7,0,152,0.997898
LoraWAN 1 gateways,0.8,4154,70,60,1000000,215,4224,355454,1155,0,0,4224,10,0,0,0
Multihop 1 gateways,0.8,5967,327,60,1000000,215,6439,705214,1155,0,0,6294,7,0,145,0.99677
LoraWAN 1 gateways,0.8,4200,70,60,1000000,215,4271,352370,1155,0,0,4271,10,1,0,0
