case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge
Multihop 1 gateways,0.1,1715,16,90,1000000,215,1740,181986,231,23,0,1731
LoraWAN 1 gateways,0.1,651,6,90,1000000,215,1739,29946,46,0,1082,657
LoraWAN 2 gateways,0.1,1274,7,90,1000000,215,1739,58604,46,0,1739,1281
LoraWAN 3 gateways,0.1,1715,8,90,1000000,215,1739,78890,46,0,1739,1723
Multihop 1 gateways,0.2,3147,96,90,1000000,215,3288,332866,231,89,0,3243
LoraWAN 1 gateways,0.2,1229,8,90,1000000,215,3264,56534,46,0,2027,1237
LoraWAN 2 gateways,0.2,2431,17,90,1000000,215,3264,111826,46,0,3264,2448
LoraWAN 3 gateways,0.2,3195,24,90,1000000,215,3264,146970,46,0,3264,3218
Multihop 1 gateways,0.3,4331,159,90,1000000,215,4561,460410,231,136,0,4490
LoraWAN 1 gateways,0.3,1615,34,90,1000000,215,4475,74290,46,0,2826,1649
LoraWAN 2 gateways,0.3,3298,40,90,1000000,215,4475,151708,46,0,4475,3338
LoraWAN 3 gateways,0.3,4388,45,90,1000000,215,4475,201848,46,0,4475,4428
Multihop 1 gateways,0.4,5251,350,90,1000000,215,5749,549266,231,402,0,5601
LoraWAN 1 gateways,0.4,2087,34,90,1000000,215,5587,96002,46,0,3466,2121
LoraWAN 2 gateways,0.4,4090,46,90,1000000,215,5587,188140,46,0,5587,4136
LoraWAN 3 gateways,0.4,5474,66,90,1000000,215,5587,251804,46,0,5587,5538
Multihop 1 gateways,0.5,6214,352,90,1000000,215,6782,638626,231,335,0,6566
LoraWAN 1 gateways,0.5,2388,76,90,1000000,215,6526,109848,46,0,4062,2464
LoraWAN 2 gateways,0.5,4776,75,90,1000000,215,6526,219696,46,0,6526,4851
LoraWAN 3 gateways,0.5,6365,99,90,1000000,215,6526,292790,46,0,6526,6461
Multihop 1 gateways,0.6,6974,541,90,1000000,215,7744,724051,231,427,0,7515
LoraWAN 1 gateways,0.6,2694,56,90,1000000,215,7361,123924,46,0,4611,2750
LoraWAN 2 gateways,0.6,5363,118,90,1000000,215,7361,246698,46,0,7361,5481
LoraWAN 3 gateways,0.6,7166,119,90,1000000,215,7361,329636,46,0,7361,7281
Multihop 1 gateways,0.7,7698,588,90,1000000,215,8577,791768,231,495,0,8285
LoraWAN 1 gateways,0.7,2924,86,90,1000000,215,8035,134504,46,0,5024,3010
LoraWAN 2 gateways,0.7,5856,145,90,1000000,215,8035,269376,46,0,8034,6001
LoraWAN 3 gateways,0.7,7796,159,90,1000000,215,8035,358616,46,0,8034,7942
Multihop 1 gateways,0.8,8269,688,90,1000000,215,9320,847741,231,696,0,8957
LoraWAN 1 gateways,0.8,3209,84,90,1000000,215,8677,147614,46,0,5384,3293
LoraWAN 2 gateways,0.8,6322,144,90,1000000,215,8677,290812,46,0,8677,6466
LoraWAN 3 gateways,0.8,8431,159,90,1000000,215,8677,387826,46,0,8677,8578
Multihop 1 gateways,0.9,8781,776,90,1000000,215,10026,893554,231,947,0,9557
LoraWAN 1 gateways,0.9,3454,86,90,1000000,215,9263,158884,46,0,5723,3540
LoraWAN 2 gateways,0.9,6759,156,90,1000000,215,9263,310914,46,0,9263,6915
LoraWAN 3 gateways,0.9,8979,205,90,1000000,215,9263,413034,46,0,9263,9167
Multihop 1 gateways,1,9491,784,90,1000000,215,10718,965983,231,663,0,10276
LoraWAN 1 gateways,1,3579,114,90,1000000,215,9792,164634,46,0,6099,3693
LoraWAN 2 gateways,1,7123,168,90,1000000,215,9792,327658,46,0,9792,7291
LoraWAN 3 gateways,1,9464,240,90,1000000,215,9792,435344,46,0,9792,9682
Multihop 1 gateways,0.1,1705,14,90,1000000,215,1740,176598,231,26,0,1719
LoraWAN 1 gateways,0.1,675,4,90,1000000,215,1739,31050,46,0,1060,679
LoraWAN 2 gateways,0.1,1305,6,90,1000000,215,1739,60030,46,0,1739,1311
LoraWAN 3 gateways,0.1,1622,10,90,1000000,215,1739,74612,46,0,1739,1632
Multihop 1 gateways,0.2,3187,52,90,1000000,215,3285,322554,231,75,0,3239
LoraWAN 1 gateways,0.2,1219,14,90,1000000,215,3264,56074,46,0,2031,1233
LoraWAN 2 gateways,0.2,2441,22,90,1000000,215,3264,112286,46,0,3264,2463
LoraWAN 3 gateways,0.2,3025,27,90,1000000,215,3264,139150,46,0,3264,3045
Multihop 1 gateways,0.3,4326,138,90,1000000,215,4549,439348,231,114,0,4464
LoraWAN 1 gateways,0.3,1706,26,90,1000000,215,4475,78476,46,0,2743,1732
LoraWAN 2 gateways,0.3,3363,47,90,1000000,215,4475,154698,46,0,4475,3410
LoraWAN 3 gateways,0.3,4128,44,90,1000000,215,4475,189888,46,0,4475,4162
Multihop 1 gateways,0.4,5204,296,90,1000000,215,5728,512973,231,440,0,5501
LoraWAN 1 gateways,0.4,2085,52,90,1000000,215,5587,95910,46,0,3450,2137
LoraWAN 2 gateways,0.4,4147,66,90,1000000,215,5587,190762,46,0,5587,4213
LoraWAN 3 gateways,0.4,5138,71,90,1000000,215,5587,236348,46,0,5587,5194
Multihop 1 gateways,0.5,6228,336,90,1000000,215,6741,617766,231,316,0,6563
LoraWAN 1 gateways,0.5,2452,54,90,1000000,215,6526,112792,46,0,4020,2506
LoraWAN 2 gateways,0.5,4885,64,90,1000000,215,6526,224710,46,0,6526,4949
LoraWAN 3 gateways,0.5,5998,106,90,1000000,215,6526,275908,46,0,6526,6083
Multihop 1 gateways,0.6,6956,455,90,1000000,215,7675,690640,231,473,0,7411
LoraWAN 1 gateways,0.6,2816,78,90,1000000,215,7361,129536,46,0,4467,2894
LoraWAN 2 gateways,0.6,5423,117,90,1000000,215,7361,249458,46,0,7361,5540
LoraWAN 3 gateways,0.6,6794,114,90,1000000,215,7361,312524,46,0,7361,6877
Multihop 1 gateways,0.7,7798,428,90,1000000,215,8506,780164,231,453,0,8226
LoraWAN 1 gateways,0.7,3038,85,90,1000000,215,8035,139748,46,0,4911,3123
LoraWAN 2 gateways,0.7,5954,110,90,1000000,215,8035,273884,46,0,8034,6064
LoraWAN 3 gateways,0.7,7381,159,90,1000000,215,8035,339526,46,0,8034,7495
Multihop 1 gateways,0.8,8266,659,90,1000000,215,9253,812771,231,596,0,8925
LoraWAN 1 gateways,0.8,3257,117,90,1000000,215,8677,149822,46,0,5303,3374
LoraWAN 2 gateways,0.8,6450,137,90,1000000,215,8677,296700,46,0,8677,6588
LoraWAN 3 gateways,0.8,7938,194,90,1000000,215,8677,365148,46,0,8677,8101
Multihop 1 gateways,0.9,8747,824,90,1000000,215,9916,851697,231,689,0,9571
LoraWAN 1 gateways,0.9,3476,131,90,1000000,215,9263,159896,46,0,5656,3607
LoraWAN 2 gateways,0.9,6805,183,90,1000000,215,9263,313030,46,0,9263,6988
LoraWAN 3 gateways,0.9,8477,219,90,1000000,215,9263,389942,46,0,9263,8653
Multihop 1 gateways,1,9322,807,90,1000000,215,10618,918104,231,788,0,10128
LoraWAN 1 gateways,1,3624,149,90,1000000,215,9792,166704,46,0,6019,3773
LoraWAN 2 gateways,1,7242,160,90,1000000,215,9792,333132,46,0,9792,7402
LoraWAN 3 gateways,1,9002,186,90,1000000,215,9792,414092,46,0,9792,9135
Multihop 1 gateways,0.1,1705,18,90,1000000,215,1741,177550,185,24,0,1723
LoraWAN 1 gateways,0.1,609,0,90,1000000,215,1739,28014,46,0,1130,609
LoraWAN 2 gateways,0.1,1296,4,90,1000000,215,1739,59616,46,0,1739,1300
LoraWAN 3 gateways,0.1,1734,5,90,1000000,215,1739,79764,46,0,1739,1739
Multihop 1 gateways,0.2,3185,70,90,1000000,215,3289,332598,185,64,0,3255
LoraWAN 1 gateways,0.2,1139,14,90,1000000,215,3264,52394,46,0,2111,1153
LoraWAN 2 gateways,0.2,2395,20,90,1000000,215,3264,110170,46,0,3264,2415
LoraWAN 3 gateways,0.2,3248,19,90,1000000,215,3264,149408,46,0,3264,3264
Multihop 1 gateways,0.3,4308,170,90,1000000,215,4555,448376,185,128,0,4478
LoraWAN 1 gateways,0.3,1560,26,90,1000000,215,4475,71760,46,0,2889,1586
LoraWAN 2 gateways,0.3,3336,20,90,1000000,215,4475,153456,46,0,4475,3356
LoraWAN 3 gateways,0.3,4445,34,90,1000000,215,4475,204470,46,0,4475,4475
Multihop 1 gateways,0.4,5352,248,90,1000000,215,5751,553119,185,185,0,5602
LoraWAN 1 gateways,0.4,1922,54,90,1000000,215,5587,88412,46,0,3611,1976
LoraWAN 2 gateways,0.4,4105,50,90,1000000,215,5587,188830,46,0,5587,4155
LoraWAN 3 gateways,0.4,5529,66,90,1000000,215,5587,254334,46,0,5587,5587
Multihop 1 gateways,0.5,6203,435,90,1000000,215,6777,635880,185,222,0,6638
LoraWAN 1 gateways,0.5,2274,59,90,1000000,215,6526,104604,46,0,4193,2333
LoraWAN 2 gateways,0.5,4794,83,90,1000000,215,6526,220524,46,0,6526,4877
LoraWAN 3 gateways,0.5,6430,114,90,1000000,215,6526,295780,46,0,6526,6526
Multihop 1 gateways,0.6,6959,587,90,1000000,215,7732,702594,185,303,0,7547
LoraWAN 1 gateways,0.6,2602,53,90,1000000,215,7361,119692,46,0,4706,2655
LoraWAN 2 gateways,0.6,5381,109,90,1000000,215,7361,247526,46,0,7361,5490
LoraWAN 3 gateways,0.6,7246,137,90,1000000,215,7361,333316,46,0,7361,7361
Multihop 1 gateways,0.7,7645,632,90,1000000,215,8568,782301,185,452,0,8277
