case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay
Multihop 1 gateways,0.1,3147,10510,126,2000000,342.563,13658,620259
LoraWAN 1 gateways,0.1,1849,11313,126,2000000,1370.25,13162,86903
LoraWAN 2 gateways,0.1,5909,13162,126,2000000,1370.25,13162,277723
LoraWAN 3 gateways,0.1,8831,13162,126,2000000,1370.25,13162,415057
Multihop 1 gateways,0.2,5123,18613,126,2000000,342.563,23736,1079073
LoraWAN 1 gateways,0.2,2889,18215,126,2000000,1370.25,21105,135783
LoraWAN 2 gateways,0.2,9501,21104,126,2000000,1370.25,21105,446547
LoraWAN 3 gateways,0.2,14163,21104,126,2000000,1370.25,21105,665661
Multihop 1 gateways,0.3,6335,24225,126,2000000,342.563,30562,1364410
LoraWAN 1 gateways,0.3,3627,22836,126,2000000,1370.25,26463,170469
LoraWAN 2 gateways,0.3,11956,26463,126,2000000,1370.25,26463,561932
LoraWAN 3 gateways,0.3,17633,26463,126,2000000,1370.25,26463,828751
Multihop 1 gateways,0.4,7121,29019,126,2000000,342.563,36141,1576380
LoraWAN 1 gateways,0.4,4175,26165,126,2000000,1370.25,30340,196225
LoraWAN 2 gateways,0.4,13718,30340,126,2000000,1370.25,30340,644746
LoraWAN 3 gateways,0.4,20290,30340,126,2000000,1370.25,30340,953630
Multihop 1 gateways,0.5,7976,32668,126,2000000,342.563,40646,1810722
LoraWAN 1 gateways,0.5,4506,28777,126,2000000,1370.25,33284,211782
LoraWAN 2 gateways,0.5,15025,33283,126,2000000,1370.25,33284,706175
LoraWAN 3 gateways,0.5,22217,33283,126,2000000,1370.25,33284,1044199
Multihop 1 gateways,0.6,8410,35673,126,2000000,342.563,44083,1933157
LoraWAN 1 gateways,0.6,4910,30717,126,2000000,1370.25,35628,230770
LoraWAN 2 gateways,0.6,15886,35627,126,2000000,1370.25,35628,746642
LoraWAN 3 gateways,0.6,23683,35627,126,2000000,1370.25,35628,1113101
Multihop 1 gateways,0.7,8897,38562,126,2000000,342.563,47459,2068987
LoraWAN 1 gateways,0.7,5169,32303,126,2000000,1370.25,37472,242943
LoraWAN 2 gateways,0.7,16641,37472,126,2000000,1370.25,37472,782127
LoraWAN 3 gateways,0.7,24879,37472,126,2000000,1370.25,37472,1169313
Multihop 1 gateways,0.8,9533,40595,126,2000000,342.563,50130,2227800
LoraWAN 1 gateways,0.8,5285,33724,126,2000000,1370.25,39009,248395
LoraWAN 2 gateways,0.8,17491,39009,126,2000000,1370.25,39009,822077
LoraWAN 3 gateways,0.8,25873,39009,126,2000000,1370.25,39009,1216031
Multihop 1 gateways,0.9,9479,42947,126,2000000,342.563,52427,2244297
LoraWAN 1 gateways,0.9,5484,34800,126,2000000,1370.25,40284,257748
LoraWAN 2 gateways,0.9,18065,40284,126,2000000,1370.25,40284,849055
LoraWAN 3 gateways,0.9,26527,40284,126,2000000,1370.25,40284,1246769
Multihop 1 gateways,1,9742,44903,126,2000000,342.563,54648,2325654
LoraWAN 1 gateways,1,5490,35921,126,2000000,1370.25,41412,258030
LoraWAN 2 gateways,1,18570,41411,126,2000000,1370.25,41412,872790
LoraWAN 3 gateways,1,27447,41411,126,2000000,1370.25,41412,1290009
