case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay
Multihop 1 gateways,0.1,1021,2512,200,2000000,61.6614,3533,153455,492.428
LoraWAN 1 gateways,0.1,1062,6768,200,2000000,431.63,7830,49914,492.428
LoraWAN 2 gateways,0.1,2982,7830,200,2000000,431.63,7830,140154,492.428
LoraWAN 3 gateways,0.1,7295,7830,200,2000000,431.63,7830,342865,492.428
Multihop 1 gateways,0.2,2368,6507,200,2000000,71.9383,8875,387233,492.428
LoraWAN 1 gateways,0.2,1188,13215,200,2000000,431.63,14403,55836,492.428
LoraWAN 2 gateways,0.2,11146,14403,200,2000000,431.63,14403,523862,492.428
LoraWAN 3 gateways,0.2,12254,14403,200,2000000,431.63,14403,575938,492.428
Multihop 1 gateways,0.3,2797,9479,200,2000000,71.9383,12277,460976,492.428
LoraWAN 1 gateways,0.3,2446,17533,200,2000000,431.63,19979,114962,492.428
LoraWAN 2 gateways,0.3,16145,19979,200,2000000,431.63,19979,758815,492.428
LoraWAN 3 gateways,0.3,12862,19979,200,2000000,431.63,19979,604514,492.428
Multihop 1 gateways,0.4,4107,10244,200,2000000,71.9383,14351,586372,492.428
LoraWAN 1 gateways,0.4,2322,22459,200,2000000,431.63,24781,109134,492.428
LoraWAN 2 gateways,0.4,18938,24781,200,2000000,431.63,24781,890086,492.428
LoraWAN 3 gateways,0.4,23345,24781,200,2000000,431.63,24781,1097215,492.428
Multihop 1 gateways,0.5,4731,12497,200,2000000,61.6614,17228,773667,492.428
LoraWAN 1 gateways,0.5,2338,26612,200,2000000,431.63,28950,109886,492.428
LoraWAN 2 gateways,0.5,21543,28950,200,2000000,431.63,28950,1012521,492.428
LoraWAN 3 gateways,0.5,8790,28950,200,2000000,431.63,28950,413130,492.428
Multihop 1 gateways,0.6,4479,15186,200,2000000,53.9537,19665,838151,492.428
LoraWAN 1 gateways,0.6,3634,28918,200,2000000,431.63,32552,170798,492.428
LoraWAN 2 gateways,0.6,26838,32552,200,2000000,431.63,32552,1261386,492.428
LoraWAN 3 gateways,0.6,21233,32552,200,2000000,431.63,32552,997951,492.428
Multihop 1 gateways,0.7,4872,13949,200,2000000,53.9537,18821,746736,492.428
LoraWAN 1 gateways,0.7,4457,31163,200,2000000,431.63,35620,209479,492.428
LoraWAN 2 gateways,0.7,17021,35620,200,2000000,431.63,35620,799987,492.428
LoraWAN 3 gateways,0.7,24798,35620,200,2000000,431.63,35620,1165506,492.428
Multihop 1 gateways,0.8,6265,23659,200,2000000,71.9383,29924,1134674,492.428
LoraWAN 1 gateways,0.8,3867,34596,200,2000000,431.63,38465,181749,492.428
LoraWAN 2 gateways,0.8,16078,38463,200,2000000,431.63,38465,755666,492.428
LoraWAN 3 gateways,0.8,23710,38463,200,2000000,431.63,38465,1114370,492.428
Multihop 1 gateways,0.9,5428,21580,200,2000000,53.9537,27008,1034141,492.428
LoraWAN 1 gateways,0.9,3667,37288,200,2000000,431.63,40958,172349,492.428
LoraWAN 2 gateways,0.9,25488,40955,200,2000000,431.63,40958,1197936,492.428
LoraWAN 3 gateways,0.9,15301,40955,200,2000000,431.63,40958,719147,492.428
Multihop 1 gateways,1,7596,21505,200,2000000,61.6614,29102,1188912,492.428
LoraWAN 1 gateways,1,5064,38097,200,2000000,431.63,43162,238008,492.428
LoraWAN 2 gateways,1,22568,43161,200,2000000,431.63,43162,1060696,492.428
LoraWAN 3 gateways,1,33073,43161,200,2000000,431.63,43162,1554431,492.428
Multihop 1 gateways,0.1,849,2087,200,2000000,47.9589,2936,130378,492.428
LoraWAN 1 gateways,0.1,630,7200,200,2000000,431.63,7830,29610,492.428
LoraWAN 2 gateways,0.1,4381,7830,200,2000000,431.63,7830,205907,492.428
LoraWAN 3 gateways,0.1,6563,7830,200,2000000,431.63,7830,308461,492.428
Multihop 1 gateways,0.2,2233,5534,200,2000000,71.9383,7767,325945,492.428
LoraWAN 1 gateways,0.2,1461,12942,200,2000000,431.63,14403,68667,492.428
LoraWAN 2 gateways,0.2,7464,14403,200,2000000,431.63,14403,350808,492.428
LoraWAN 3 gateways,0.2,13449,14403,200,2000000,431.63,14403,632103,492.428
Multihop 1 gateways,0.3,2834,9142,200,2000000,61.6614,11977,502383,492.428
LoraWAN 1 gateways,0.3,1709,18270,200,2000000,431.63,19979,80323,492.428
LoraWAN 2 gateways,0.3,6884,19979,200,2000000,431.63,19979,323548,492.428
LoraWAN 3 gateways,0.3,17324,19979,200,2000000,431.63,19979,814228,492.428
Multihop 1 gateways,0.4,4192,13163,200,2000000,71.9383,17355,746219,492.428
LoraWAN 1 gateways,0.4,3225,21556,200,2000000,431.63,24781,151575,492.428
LoraWAN 2 gateways,0.4,7961,24781,200,2000000,431.63,24781,374167,492.428
LoraWAN 3 gateways,0.4,18320,24781,200,2000000,431.63,24781,861040,492.428
Multihop 1 gateways,0.5,4244,15313,200,2000000,71.9383,19557,704530,492.428
LoraWAN 1 gateways,0.5,2202,26748,200,2000000,431.63,28950,103494,492.428
LoraWAN 2 gateways,0.5,18438,28950,200,2000000,431.63,28950,866586,492.428
LoraWAN 3 gateways,0.5,15873,28950,200,2000000,431.63,28950,746031,492.428
Multihop 1 gateways,0.6,5895,15840,200,2000000,71.9383,21735,904327,492.428
LoraWAN 1 gateways,0.6,2300,30252,200,2000000,431.63,32552,108100,492.428
LoraWAN 2 gateways,0.6,22326,32552,200,2000000,431.63,32552,1049322,492.428
LoraWAN 3 gateways,0.6,23886,32552,200,2000000,431.63,32552,1122642,492.428
Multihop 1 gateways,0.7,4630,14329,200,2000000,47.9589,18959,801538,492.428
LoraWAN 1 gateways,0.7,4373,31247,200,2000000,431.63,35620,205531,492.428
LoraWAN 2 gateways,0.7,16691,35620,200,2000000,431.63,35620,784477,492.428
LoraWAN 3 gateways,0.7,26297,35620,200,2000000,431.63,35620,1235959,492.428
Multihop 1 gateways,0.8,5702,17588,200,2000000,61.6614,23290,868795,492.428
LoraWAN 1 gateways,0.8,3924,34539,200,2000000,431.63,38465,184428,492.428
LoraWAN 2 gateways,0.8,25958,38463,200,2000000,431.63,38465,1220026,492.428
LoraWAN 3 gateways,0.8,24291,38463,200,2000000,431.63,38465,1141677,492.428
Multihop 1 gateways,0.9,7686,24545,200,2000000,71.9383,32234,1310736,492.428
LoraWAN 1 gateways,0.9,2508,38447,200,2000000,431.63,40958,117876,492.428
LoraWAN 2 gateways,0.9,24122,40955,200,2000000,431.63,40958,1133734,492.428
LoraWAN 3 gateways,0.9,30781,40955,200,2000000,431.63,40958,1446707,492.428
Multihop 1 gateways,1,9624,20770,200,2000000,86.326,30394,1170112,492.428
LoraWAN 1 gateways,1,4824,38337,200,2000000,431.63,43162,226728,492.428
LoraWAN 2 gateways,1,31391,43161,200,2000000,431.63,43162,1475377,492.428
LoraWAN 3 gateways,1,34414,43161,200,2000000,431.63,43162,1617458,492.428
