case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay
Multihop 1 gateways,0.1,6486,23197,224,2000000,431.63,29683,1322251
LoraWAN 1 gateways,0.1,1277,7495,224,2000000,431.63,8772,60019
LoraWAN 2 gateways,0.1,4206,8772,224,2000000,431.63,8772,197682
LoraWAN 3 gateways,0.1,5996,8772,224,2000000,431.63,8772,281812
Multihop 1 gateways,0.2,9957,39062,224,2000000,431.63,49019,2126374
LoraWAN 1 gateways,0.2,2267,13920,224,2000000,431.63,16187,106549
LoraWAN 2 gateways,0.2,7420,16187,224,2000000,431.63,16187,348740
LoraWAN 3 gateways,0.2,10948,16187,224,2000000,431.63,16187,514556
Multihop 1 gateways,0.3,12172,50192,224,2000000,431.63,62365,2678013
LoraWAN 1 gateways,0.3,3058,19240,224,2000000,431.63,22298,143726
LoraWAN 2 gateways,0.3,10392,22298,224,2000000,431.63,22298,488424
LoraWAN 3 gateways,0.3,15049,22298,224,2000000,431.63,22298,707303
Multihop 1 gateways,0.4,13232,59533,224,2000000,431.63,72769,2998177
LoraWAN 1 gateways,0.4,3757,23905,224,2000000,431.63,27664,176579
LoraWAN 2 gateways,0.4,12844,27662,224,2000000,431.63,27664,603668
LoraWAN 3 gateways,0.4,18479,27662,224,2000000,431.63,27664,868513
Multihop 1 gateways,0.5,14536,66039,224,2000000,431.63,80576,3345319
LoraWAN 1 gateways,0.5,4327,28014,224,2000000,431.63,32342,203369
LoraWAN 2 gateways,0.5,15007,32341,224,2000000,431.63,32342,705329
LoraWAN 3 gateways,0.5,21778,32341,224,2000000,431.63,32342,1023566
Multihop 1 gateways,0.6,15224,71979,224,2000000,431.63,87205,3564198
LoraWAN 1 gateways,0.6,4919,31457,224,2000000,431.63,36378,231193
LoraWAN 2 gateways,0.6,16742,36376,224,2000000,431.63,36378,786874
LoraWAN 3 gateways,0.6,24476,36376,224,2000000,431.63,36378,1150372
Multihop 1 gateways,0.7,15643,76538,224,2000000,431.63,92181,3695892
LoraWAN 1 gateways,0.7,5493,34440,224,2000000,431.63,39934,258171
LoraWAN 2 gateways,0.7,18256,39933,224,2000000,431.63,39934,858032
LoraWAN 3 gateways,0.7,26638,39933,224,2000000,431.63,39934,1251986
Multihop 1 gateways,0.8,16561,80648,224,2000000,431.63,97209,3947718
LoraWAN 1 gateways,0.8,5762,37365,224,2000000,431.63,43127,270814
LoraWAN 2 gateways,0.8,19711,43127,224,2000000,431.63,43127,926417
LoraWAN 3 gateways,0.8,28796,43127,224,2000000,431.63,43127,1353412
Multihop 1 gateways,0.9,16747,84536,224,2000000,431.63,101283,4025362
LoraWAN 1 gateways,0.9,6109,39775,224,2000000,431.63,45886,287123
LoraWAN 2 gateways,0.9,20930,45884,224,2000000,431.63,45886,983710
LoraWAN 3 gateways,0.9,30491,45884,224,2000000,431.63,45886,1433077
Multihop 1 gateways,1,17100,87591,224,2000000,431.63,104693,4134919
LoraWAN 1 gateways,1,6493,41887,224,2000000,431.63,48381,305171
LoraWAN 2 gateways,1,21997,48380,224,2000000,431.63,48381,1033859
LoraWAN 3 gateways,1,31972,48380,224,2000000,431.63,48381,1502684
